Country,Population,Yearly Change,Net Change
India,"1,450,935,791",0.89 %,"12,866,195"
China,"1,419,321,278",-0.23 %,"-3,263,655"
United States,"345,426,571",0.57 %,"1,949,236"
Indonesia,"283,487,931",0.82 %,"2,297,864"
Pakistan,"251,269,164",1.52 %,"3,764,669"
Nigeria,"232,679,478",2.10 %,"4,796,533"
Brazil,"211,998,573",0.41 %,"857,844"
Bangladesh,"173,562,364",1.22 %,"2,095,374"
Russia,"144,820,423",-0.43 %,"-620,077"
Ethiopia,"132,059,767",2.62 %,"3,368,075"
Mexico,"130,861,007",0.86 %,"1,121,248"
Japan,"123,753,041",-0.50 %,"-617,906"
Egypt,"116,538,258",1.75 %,"2,002,486"
Philippines,"115,843,670",0.83 %,"952,471"
DR Congo,"109,276,265",3.30 %,"3,486,534"
Vietnam,"100,987,686",0.63 %,"635,494"
Iran,"91,567,738",1.06 %,"959,031"
Turkiye,"87,473,805",0.23 %,"203,304"
Germany,"84,552,242",0.00 %,"4,011"
Thailand,"71,668,011",-0.05 %,"-34,424"
United Kingdom,"69,138,192",0.66 %,"455,230"
Tanzania,"68,560,157",2.92 %,"1,942,551"
France,"66,548,530",0.17 %,"109,708"
South Africa,"64,007,187",1.26 %,"794,803"
Italy,"59,342,867",-0.26 %,"-156,586"
Kenya,"56,432,944",1.98 %,"1,093,941"
Myanmar,"54,500,091",0.68 %,"366,293"
Colombia,"52,886,363",1.08 %,"565,211"
South Korea,"51,717,590",-0.06 %,"-31,149"
Sudan,"50,448,963",0.81 %,"406,172"
Uganda,"50,015,092",2.79 %,"1,358,491"
Spain,"47,910,526",0.00 %,"-1,053"
Algeria,"46,814,308",1.41 %,"650,089"
Iraq,"46,042,015",2.15 %,"967,966"
Argentina,"45,696,159",0.35 %,"157,758"
Afghanistan,"42,647,492",2.88 %,"1,192,731"
Yemen,"40,583,164",3.03 %,"1,192,365"
Canada,"39,742,430",1.13 %,"443,325"
Poland,"38,539,201",-0.58 %,"-223,643"
Morocco,"38,081,173",0.98 %,"368,668"
Angola,"37,885,849",3.09 %,"1,135,943"
Ukraine,"37,860,221",0.34 %,"127,385"
Uzbekistan,"36,361,859",1.99 %,"709,552"
Malaysia,"35,557,673",1.23 %,"431,375"
Mozambique,"34,631,766",2.96 %,"996,606"
Ghana,"34,427,414",1.89 %,"639,500"
Peru,"34,217,848",1.10 %,"372,231"
Saudi Arabia,"33,962,757",2.10 %,"698,465"
Madagascar,"31,964,956",2.47 %,"769,024"
C�te d'Ivoire,"31,934,230",2.47 %,"768,576"
Nepal,"29,651,054",-0.15 %,"-43,560"
Cameroon,"29,123,744",2.65 %,"751,057"
Venezuela,"28,405,543",0.37 %,"104,689"
Niger,"27,032,412",3.34 %,"872,545"
Australia,"26,713,205",0.99 %,"262,081"
North Korea,"26,498,823",0.31 %,"80,619"
Syria,"24,672,760",4.57 %,"1,078,137"
Mali,"24,478,595",2.98 %,"709,468"
Burkina Faso,"23,548,781",2.27 %,"523,005"
Taiwan,"23,213,962",-0.44 %,"-103,183"
Sri Lanka,"23,103,565",0.57 %,"131,948"
Malawi,"21,655,286",2.61 %,"550,804"
Zambia,"21,314,956",2.85 %,"590,991"
Kazakhstan,"20,592,571",1.29 %,"262,467"
Chad,"20,299,123",5.07 %,"980,059"
Chile,"19,764,771",0.54 %,"105,936"
Romania,"19,015,088",-0.54 %,"-103,391"
Somalia,"19,009,151",3.54 %,"650,536"
Senegal,"18,501,984",2.35 %,"424,411"
Guatemala,"18,406,359",1.55 %,"281,521"
Netherlands,"18,228,742",0.75 %,"136,218"
Ecuador,"18,135,478",0.86 %,"155,395"
Cambodia,"17,638,801",1.23 %,"214,921"
Zimbabwe,"16,634,373",1.80 %,"293,551"
Guinea,"14,754,785",2.42 %,"349,317"
Benin,"14,462,724",2.49 %,"351,690"
Rwanda,"14,256,567",2.16 %,"302,096"
Burundi,"14,047,786",2.62 %,"358,336"
Bolivia,"12,413,315",1.38 %,"169,156"
Tunisia,"12,277,109",0.63 %,"76,678"
South Sudan,"11,943,408",4.01 %,"460,034"
Haiti,"11,772,557",1.16 %,"135,159"
Belgium,"11,738,763",0.22 %,"25,870"
Jordan,"11,552,876",0.99 %,"113,663"
Dominican Republic,"11,427,557",0.85 %,"96,292"
United Arab Emirates,"11,027,129",3.62 %,"385,048"
Cuba,"10,979,783",-0.36 %,"-40,148"
Honduras,"10,825,703",1.70 %,"180,852"
Czech Republic (Czechia),"10,735,859",-0.68 %,"-73,857"
Sweden,"10,606,999",0.53 %,"55,505"
Tajikistan,"10,590,927",1.94 %,"201,128"
Papua New Guinea,"10,576,502",1.80 %,"186,867"
Portugal,"10,425,292",-0.05 %,"-5,446"
Azerbaijan,"10,336,577",0.18 %,"18,370"
Greece,"10,047,817",-1.90 %,"-195,091"
Hungary,"9,676,135",-0.11 %,"-10,328"
Togo,"9,515,236",2.27 %,"210,899"
Israel,"9,387,021",1.41 %,"130,707"
Austria,"9,120,813",-0.11 %,"-9,616"
Belarus,"9,056,696",-0.65 %,"-58,984"
Switzerland,"8,921,981",0.58 %,"51,420"
Sierra Leone,"8,642,022",2.15 %,"181,510"
Laos,"7,769,819",1.37 %,"104,826"
Turkmenistan,"7,494,498",1.77 %,"130,060"
Hong Kong,"7,414,909",-0.37 %,"-27,825"
Libya,"7,381,023",1.03 %,"75,364"
Kyrgyzstan,"7,186,009",1.59 %,"112,493"
Paraguay,"6,929,153",1.24 %,"85,007"
Nicaragua,"6,916,140",1.36 %,"92,527"
Bulgaria,"6,757,689",-0.56 %,"-38,114"
Serbia,"6,736,216",-0.55 %,"-36,985"
El Salvador,"6,338,193",0.45 %,"28,569"
Congo,"6,332,961",2.43 %,"150,076"
Denmark,"5,977,412",0.49 %,"29,276"
Singapore,"5,832,387",0.75 %,"43,297"
Lebanon,"5,805,962",0.56 %,"32,469"
Finland,"5,617,310",0.29 %,"16,125"
Liberia,"5,612,817",2.18 %,"119,786"
Norway,"5,576,660",1.04 %,"57,493"
Slovakia,"5,506,760",-0.20 %,"-11,295"
State of Palestine,"5,495,443",1.59 %,"86,241"
Central African Republic,"5,330,690",3.46 %,"178,269"
Oman,"5,281,538",4.60 %,"232,269"
Ireland,"5,255,017",1.12 %,"58,387"
New Zealand,"5,213,944",0.79 %,"41,108"
Mauritania,"5,169,395",2.93 %,"146,954"
Costa Rica,"5,129,910",0.48 %,"24,385"
Kuwait,"4,934,507",1.98 %,"95,725"
Panama,"4,515,577",1.27 %,"56,818"
Croatia,"3,875,325",-0.53 %,"-20,698"
Georgia,"3,807,670",0.00 %,178
Eritrea,"3,535,603",1.88 %,"65,213"
Mongolia,"3,475,540",1.27 %,"43,608"
Uruguay,"3,386,588",-0.04 %,"-1,493"
Puerto Rico,"3,242,204",0.01 %,181
Bosnia and Herzegovina,"3,164,253",-0.65 %,"-20,820"
Qatar,"3,048,423",2.33 %,"69,341"
Moldova,"3,034,961",-1.05 %,"-32,109"
Namibia,"3,030,131",2.26 %,"67,036"
Armenia,"2,973,840",1.03 %,"30,447"
Lithuania,"2,859,110",0.18 %,"5,011"
Jamaica,"2,839,175",-0.02 %,-611
Albania,"2,791,765",-0.71 %,"-19,890"
Gambia,"2,759,988",2.30 %,"62,143"
Gabon,"2,538,952",2.18 %,"54,163"
Botswana,"2,521,139",1.65 %,"40,895"
Lesotho,"2,337,423",1.12 %,"25,951"
Guinea-Bissau,"2,201,352",2.23 %,"48,013"
Slovenia,"2,118,697",0.01 %,301
Equatorial Guinea,"1,892,516",2.43 %,"44,967"
Latvia,"1,871,871",-0.56 %,"-10,525"
North Macedonia,"1,823,009",-0.48 %,"-8,793"
Bahrain,"1,607,049",2.38 %,"37,383"
Trinidad and Tobago,"1,507,782",0.32 %,"4,850"
Timor-Leste,"1,400,638",1.18 %,"16,352"
Estonia,"1,360,546",-0.49 %,"-6,650"
Cyprus,"1,358,282",0.99 %,"13,306"
Mauritius,"1,271,169",-0.19 %,"-2,419"
Eswatini,"1,242,822",1.00 %,"12,316"
Djibouti,"1,168,722",1.37 %,"15,778"
Fiji,"928,784",0.50 %,"4,639"
R�union,"878,591",0.42 %,"3,708"
Comoros,"866,628",1.91 %,"16,241"
Guyana,"831,087",0.57 %,"4,734"
Solomon Islands,"819,198",2.40 %,"19,193"
Bhutan,"791,524",0.65 %,"5,139"
Macao,"720,262",0.89 %,"6,350"
Luxembourg,"673,036",1.19 %,"7,938"
Montenegro,"638,479",0.78 %,"4,927"
Suriname,"634,431",0.88 %,"5,545"
Western Sahara,"590,506",1.86 %,"10,777"
Malta,"539,607",1.25 %,"6,651"
Maldives,"527,799",0.34 %,"1,805"
Micronesia,"526,923",0.32 %,"1,683"
Cabo Verde,"524,877",0.49 %,"2,546"
Brunei,"462,721",0.82 %,"3,772"
Belize,"417,072",1.45 %,"5,966"
Bahamas,"401,283",0.46 %,"1,843"
Iceland,"393,396",1.51 %,"5,838"
Guadeloupe,"375,106",-0.37 %,"-1,411"
Martinique,"343,195",-0.81 %,"-2,807"
Vanuatu,"327,777",2.30 %,"7,368"
Mayotte,"326,505",3.32 %,"10,490"
French Guiana,"308,522",1.69 %,"5,120"
New Caledonia,"292,639",0.96 %,"2,769"
Barbados,"282,467",0.05 %,131
French Polynesia,"281,807",0.25 %,689
Sao Tome & Principe,"235,536",2.02 %,"4,665"
Samoa,"218,019",0.63 %,"1,356"
Cura�ao,"185,482",0.03 %,55
Saint Lucia,"179,744",0.26 %,459
Guam,"167,777",0.76 %,"1,271"
Kiribati,"134,518",1.50 %,"1,988"
Seychelles,"130,418",1.93 %,"2,467"
Grenada,"117,207",0.11 %,126
Aruba,"108,066",0.12 %,127
Tonga,"104,175",-0.40 %,-422
St. Vincent & Grenadines,"100,616",-0.70 %,-707
Antigua and Barbuda,"93,772",0.49 %,456
U.S. Virgin Islands,"84,905",-0.93 %,-796
Isle of Man,"84,160",-0.01 %,-5
Andorra,"81,938",1.34 %,"1,082"
Cayman Islands,"74,457",1.94 %,"1,419"
Dominica,"66,205",-0.46 %,-305
Bermuda,"64,636",-0.10 %,-62
Greenland,"55,840",-0.15 %,-82
Faeroe Islands,"55,400",1.25 %,686
Saint Kitts & Nevis,"46,843",0.18 %,85
American Samoa,"46,765",-1.59 %,-756
Turks and Caicos,"46,535",0.73 %,337
Northern Mariana Islands,"44,278",-1.92 %,-865
Sint Maarten,"43,350",1.41 %,601
Liechtenstein,"39,870",0.69 %,272
British Virgin Islands,"39,471",1.25 %,486
Gibraltar,"39,329",2.23 %,858
Monaco,"38,631",-0.83 %,-325
Marshall Islands,"37,548",-3.29 %,"-1,279"
San Marino,"33,581",-0.45 %,-152
Caribbean Netherlands,"30,675",2.60 %,777
Saint Martin,"26,129",-5.04 %,"-1,386"
Palau,"17,695",-0.18 %,-32
Anguilla,"14,598",1.30 %,188
Cook Islands,"13,729",-3.47 %,-493
Nauru,"11,947",0.61 %,72
Wallis & Futuna,"11,277",-0.82 %,-93
Saint Barthelemy,"11,258",1.56 %,173
Tuvalu,"9,646",-1.73 %,-170
Saint Pierre & Miquelon,"5,628",-0.93 %,-53
Saint Helena,"5,237",-0.98 %,-52
Montserrat,"4,389",-0.70 %,-31
Falkland Islands,"3,470",-0.20 %,-7
Tokelau,"2,506",4.55 %,109
Niue,"1,819",0.11 %,2
Holy See,496,0.00 %,0
